mbid,artist_mb,artist_lastfm,tags_mb,az_artist,done
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,True
a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,Radiohead,rock; electronic; alternative rock; british; grunge; uk; britannique; britpop; art rock; experimental rock; english; chamber pop; parlophone; england; melancholic; oxford; bootleg; rock and indie; c’était mieux avant; art pop; nude; sacred cows,Radiohead,True
8bfac288-ccc5-448d-9573-c33ea2aa5c30,Red Hot Chili Peppers,Red Hot Chili Peppers,rock; alternative rock; 80s; 90s; rap; metal; american; crossover; usa; funk; funk rock; alternative; pop rock; funk metal; rap rock; 00s; dvd; pop and chart; 10s; funk rock tributo,Red Hot Chili Peppers,True
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,Rihanna,pop; dance; hip hop; reggae; contemporary r b; electropop; rnb; barbadian; dance-pop; dancehall; electro house; pop and chart; pop soul; rihanna; barbadien; barbados; barbade; rehab; r&b; contemporary r&b,Rihanna,True
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Eminem,turkish; rap; american; hip-hop; hip hop; hiphop; midwest hip-hop; detroit hip-hop; pop rap; horrorcore; rapper; us; pop and chart; eminem; 8 mile; boom bap; v; comedy rap; hardcore hip hop,Eminem,True
164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Kanye West,synthpop; pop; american; hip-hop; hip hop; electropop; producer; pop rap; rapper; us; hip hop rnb and dance hall; experimental hip hop; grammy winner; hardcore hip hop,Kanye West,True
5b11f4ce-a62d-471e-81fc-a69a8278c7da,Nirvana,Nirvana,rock; alternative rock; 90s; punk; american; experimental; seattle; grunge; band; usa; alternative; américain; legendary; acoustic rock; noise rock; 90; northwest; rock and indie; united states; nirvana; kurt cobain,Nirvana,True
9c9f1380-2516-4fc9-a3e6-f9f61941d090,Muse,Muse,rock; electronic; synthpop; alternative rock; progressive rock; metal; british; uk; britannique; funk rock; producer; pop rock; symphonic rock; new prog; english; producteur; rock and indie; alternative-rock; male; best,Muse,False
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,Queen,rock; progressive rock; 70s; 80s; 90s; pop-rock; british; uk; band; hard rock; britannique; disco; glam rock; queen family; art rock; pop rock; english; united kingdom; queen; film soundtrack; classic pop and rock; platinum; pop/rock; 80's; 90's; 70's; langham 1 studio bbc; kind of magic; sa-town anthem,Queen,False
67f66c07-6e61-4026-ade5-7e782fad3a5d,Foo Fighters,Foo Fighters,rock; alternative rock; american; grunge; hard rock; alternative; post-grunge; acoustic rock; pop rock; us; rock and indie; everlong,Foo Fighters,False
