mbid,artist_mb,artist_lastfm,tags_mb,az_artist,song,lyrics,image
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Yellow,"look at the stars look how they shine for you and everything you do yeah, they were all yellow  i came along i wrote a song for you and all the things you do and it was called ""yellow""  so then i took my turn oh what a thing to have done and it was all yellow  your skin oh yeah your skin and bones turn into something beautiful do you know you know i love you so you know i love you so  i swam across i jumped across for you oh what a thing to do 'cause you were all yellow  i drew a line i drew a line for you oh what a thing to do and it was all yellow  your skin oh yeah your skin and bones turn into something beautiful do you know for you i'd bleed myself dry for you i'd bleed myself dry  it's true look how they shine for you look how they shine for you look how they shine for look how they shine for you look how they shine for you look how they shine  look at the stars look how they shine for you and all the things that you do",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Viva la Vida,"i used to rule the world seas would rise when i gave the word now in the morning i sleep alone sweep the streets i used to own  i used to roll the dice feel the fear in my enemy's eyes listened as the crowd would sing, ""now the old king is dead! long live the king!"" one minute i held the key next the walls were closed on me and i discovered that my castles stand upon pillars of salt and pillars of sand  i hear jerusalem bells a-ringing roman cavalry choirs are singing be my mirror, my sword and shield my missionaries in a foreign field for some reason i can't explain once you'd gone there was never never an honest word and that was when i ruled the world  it was a wicked and wild wind blew down the doors to let me in shattered windows and the sound of drums people couldn't believe what i'd become revolutionaries wait for my head on a silver plate just a puppet on a lonely string oh who would ever want to be king?  i hear jerusalem bells a-ringing roman cavalry choirs are singing be my mirror, my sword and shield my missionaries in a foreign field for some reason i can't explain i know st. peter won't call my name never an honest word but that was when i ruled the world  oh, oh, oh, oh, oh, oh [5x]  hear jerusalem bells a-ringing roman cavalry choirs are singing be my mirror, my sword and shield my missionaries in a foreign field for some reason i can't explain i know st. peter won't call my name never an honest word but that was when i ruled the world",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,The Scientist,"come up to meet you, tell you i'm sorry you don't know how lovely you are  i had to find you tell you i need you tell you i set you apart  tell me your secrets and ask me your questions oh, let's go back to the start  running in circles coming up tails heads on a science apart  nobody said it was easy it's such a shame for us to part nobody said it was easy no one ever said it would be this hard  oh, take me back to the start  i was just guessing at numbers and figures pulling the puzzles apart  questions of science science and progress do not speak as loud as my heart  tell me you love me come back and haunt me oh, and i rush to the start  running in circles chasing our tails coming back as we are  nobody said it was easy oh, it's such a shame for us to part nobody said it was easy no one ever said it would be so hard  i'm going back to the start  oh oh oh oh",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Clocks,"the lights go out and i can't be saved tides that i tried to swim against have brought me down upon my knees oh i beg, i beg and plead, singing  come out of things unsaid shoot an apple off my head and a trouble that can't be named a tiger's waiting to be tamed, singing  you are you are  confusion never stops closing walls and ticking clocks  gonna come back and take you home i could not stop that you now know, singing  come out upon my seas cursed missed opportunities  am i a part of the cure? or am i part of the disease? singing  you are, you are, you are  you are, you are, you are  and nothing else compares oh nothing else compares and nothing else compares  you are  you are  home, home where i wanted to go  home, home where i wanted to go home, home where i wanted to go home, home where i wanted to go",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Fix You,"when you try your best, but you don't succeed when you get what you want, but not what you need when you feel so tired, but you can't sleep stuck in reverse and the tears come streaming down your face when you lose something you can't replace when you love someone, but it goes to waste could it be worse?  lights will guide you home and ignite your bones and i will try to fix you  and high up above or down below when you're too in love to let it go but if you never try you'll never know just what you're worth  lights will guide you home and ignite your bones and i will try to fix you  tears stream down your face when you lose something you cannot replace tears stream down your face and i tears stream down your face i promise you i will learn from my mistakes tears stream down your face and i  lights will guide you home and ignite your bones and i will try to fix you",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Don't Panic,"bones sinking like stones all that we fought for homes, places we've grown all of us are done for  and we live in a beautiful world yeah we do, yeah we do we live in a beautiful world  bones sinking like stones all that we fought for and homes, places we've grown all of us are done for  and we live in a beautiful world yeah we do, yeah we do we live in a beautiful world  and we live in a beautiful world yeah we do, yeah we do we live in a beautiful world  oh, all that i know there's nothing here to run from 'cause yeah everybody here's got somebody to lean on",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Paradise,"when she was just a girl she expected the world but it flew away from her reach so she ran away in her sleep and dreamed of para-para-paradise, para-para-paradise, para-para-paradise every time she closed her eyes  when she was just a girl she expected the world but it flew away from her reach and the bullets catch in her teeth  life goes on, it gets so heavy the wheel breaks the butterfly every tear a waterfall in the night, the stormy night, she'd close her eyes in the night, the stormy night, away she'd fly  and dream of para-para-paradise para-para-paradise para-para-paradise oh oh oh oh oh oh-oh-oh she'd dream of para-para-paradise para-para-paradise para-para-paradise oh oh oh oh oh oh-oh-oh-oh  lalalalalalalalalalala and so lying underneath those stormy skies she'd say, ""oh, oh-oh-oh-oh, i know the sun must set to rise.""  this could be para-para-paradise para-para-paradise this could be para-para-paradise oh oh oh oh oh oh-oh-oh  this could be para-para-paradise para-para-paradise this could be para-para-paradise oh oh oh oh oh oh-oh-oh  this could be para-para-paradise para-para-paradise this could be para-para-paradise oh oh oh oh oh oh-oh-oh",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Trouble,"oh no, i see a spider web is tangled up with me and i lost my head and thought of all the stupid things i'd said  oh no what's this a spider web and i'm caught in the middle so i turn to run and thought of all the stupid things i'd done  and i, i never meant to cause you trouble and i, i never meant to do you wrong and i, well if i ever caused you trouble and oh no, i never meant to do you harm  oh no, i see a spider web and it's me in the middle so i twist and turn but here am i in my little bubble  singing that i, i never meant to cause you trouble and i, i never meant to do you wrong and i, well if i ever caused you trouble and oh no, i never meant to do you harm  they spun a web for me they spun a web for me they spun a web for me",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,In My Place,"in my place, in my place were lines that i couldn't change i was lost, oh yeah  and i was lost, i was lost crossed lines i shouldn't have crossed i was lost, oh yeah  yeah, how long must you wait for it? yeah, how long must you pay for it? yeah, how long must you wait for it? for it  i was scared, i was scared tired and under-prepared but i wait for it  and if you go, if you go and leave me down here on my own then i'll wait for you, yeah  yeah, how long must you wait for it? yeah, how long must you pay for it? yeah, how long must you wait for it? for it  sing it please, please, please come back and sing to me to me, me  come on and sing it out, now, now come on and sing it out to me, me come back and sing  in my place, in my place were lines that i couldn't change i was lost, oh yeah oh yeah",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Sparks,"did i drive you away i know what you'll say you say, ""oh, sing one you know"" but i promise you this i'll always look out for you yeah that's what i'll do  i say, oh i say, oh  my heart is yours it's you that i hold on to yeah that's what i do and i know i was wrong but i won't let you down (oh yeah, oh yeah, oh yeah, i will, yes i will)  i say oh i cry oh  yeah i saw sparks yeah i saw sparks and i saw sparks yeah i saw sparks  sing it out  la, la, la, la, oh la, la, la, la, oh la, la, la, la, oh",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
